,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude,Codes,Continent
186,Canada,Saskatchewan,341,280,4,55.5321257,-106.1412243,CAN,North America
187,Canada,Manitoba,264,196,6,55.001251,-97.001038,CAN,North America
188,Canada,Newfoundland and Labrador,256,207,3,53.82173270000001,-61.2295532,CAN,North America
189,Canada,New Brunswick,118,107,0,46.500283,-66.75018299999999,CAN,North America
190,Canada,Prince Edward Island,26,24,0,46.50354535,-63.59551713991449,CAN,North America
191,Canada,Yukon,11,8,0,63.000147,-136.002502,CAN,North America
192,Canada,Northwest Territories,5,5,0,65.00000039999999,-118.0,CAN,North America
193,Canada,Nunavut,0,0,0,70.0000073,-90.0,CAN,North America
194,Chile,Santiago Metropolitan Region,6761,0,86,-33.5739341,-70.62055179999999,CHL,South America
195,Chile,Araucania,1184,0,26,-38.67101160000001,-72.25645759999998,CHL,South America
196,Chile,Ñuble,715,0,14,-36.63315770000001,-71.9384821,CHL,South America
197,Chile,Bio Bio,683,0,5,-37.3391407,-72.4106825,CHL,South America
198,Chile,Magallanes and Chilean Antarctica,624,0,8,-53.35275179999999,-71.5547782,CHL,South America
199,Chile,Los Lagos,460,0,8,-42.300844,-73.105387,CHL,South America
200,Chile,Valparaíso,436,0,8,-33.0458456,-71.6196749,CHL,South America
201,Chile,Antofagasta,366,0,2,-23.6041314,-69.0842783,CHL,South America
202,Chile,Maule,349,0,10,-35.5972284,-71.48868,CHL,South America
203,Chile,Arica y Parinacota,239,0,3,-18.5918514,-69.75860829999999,CHL,South America
204,Chile,Los Ríos,174,0,3,-39.9742911,-72.667478,CHL,South America
205,Chile,Tarapacá,134,0,0,-20.1636672,-69.5463448,CHL,South America
206,Chile,O'Higgins,81,0,1,-48.47302585,-72.84749314466745,CHL,South America
207,Chile,Coquimbo,72,0,0,-30.7546652,-70.9005536,CHL,South America
208,Chile,Atacama,21,0,0,-27.5571783,-70.0156882,CHL,South America
209,Chile,Aysén,7,0,0,-46.1434629,-74.36488694169806,CHL,South America
210,China,Hubei,67803,64014,3212,31.15172525,112.87832224656044,CHN,Asia
211,China,Guangdong Province,1532,1395,8,24.7443043,113.0814482,CHN,Asia
212,China,Henan,1276,1252,22,34.0000001,113.9999999,CHN,Asia
213,China,Zhejiang,1264,1230,1,29.0000001,119.9999999,CHN,Asia
214,China,Hunan,1019,1014,4,27.999587800000004,112.009538,CHN,Asia
215,China,Anhui,990,984,6,32.0,117.0,CHN,Asia
216,China,Jiangxi,937,935,1,28.0,116.0,CHN,Asia
217,China,Shandong,780,755,7,36.0000001,118.9999999,CHN,Asia
218,China,Jiangsu,651,633,0,33.0000001,119.9999999,CHN,Asia
219,China,Beijing,587,443,8,39.906217,116.3912757,CHN,Asia
220,China,Chongqing,579,570,6,29.5585712,106.5492822,CHN,Asia
221,China,Sichuan,559,540,3,30.5000001,102.4999999,CHN,Asia
222,China,Shanghai,536,383,6,31.232275800000004,121.4692071,CHN,Asia
223,China,Heilongjiang,524,469,13,48.00000470000001,127.999992,CHN,Asia
224,China,Fujian,350,305,1,26.5450001,117.842778,CHN,Asia
225,China,Hebei,327,310,6,39.0000001,116.0,CHN,Asia
226,China,Shaanxi,256,246,3,36.0,109.0,CHN,Asia
227,China,Guangxi,254,252,2,24.0,109.0,CHN,Asia
228,China,Yunnan,184,172,2,25.0,102.0,CHN,Asia
229,China,Tianjin,180,144,3,39.1235635,117.1980785,CHN,Asia
230,China,Hainan,168,162,6,19.2000001,109.5999999,CHN,Asia
231,China,Guizhou,147,144,2,27.0,107.0,CHN,Asia
232,China,Liaoning,142,128,2,40.99751970000001,122.9955469,CHN,Asia
233,China,Gansu,139,132,2,38.0000001,101.9999999,CHN,Asia
234,China,Shanxi,138,133,0,37.0,112.0,CHN,Asia
235,China,Inner Mongolia,118,74,1,43.2443242,114.3251664,CHN,Asia
236,China,Jilin,98,92,1,42.9995032,125.9816054,CHN,Asia
237,China,Xinjiang,76,73,3,41.7574769,87.16738423046895,CHN,Asia
238,China,Ningxia,75,75,0,37.0000001,105.9999999,CHN,Asia
239,China,Qinghai,18,18,0,35.40709525,95.95211573241954,CHN,Asia
240,China,Tibet,1,1,0,31.89434315,87.07813712706509,CHN,Asia
241,Croatia,City of Zagreb,459,236,16,45.79151065,15.98246722398631,HRV,Europe
242,Croatia,Split-Dalmatia County,454,117,14,43.07361015,16.027989049469006,HRV,Europe
243,Croatia,Krapina-Zagorje County,130,5,1,46.0983218,15.9377404,HRV,Europe
244,Croatia,Zagreb County,127,42,0,45.7017634,16.2347136,HRV,Europe
245,Croatia,Osijek-Baranja County,113,52,7,45.541111,18.4384615,HRV,Europe
246,Croatia,Dubrovnik-Neretva County,105,27,6,42.7580845,17.3352326,HRV,Europe
247,Croatia,Istria County,90,69,2,45.2098898,13.6822959,HRV,Europe
248,Croatia,Primorje-Gorski Kotar County,82,34,1,45.4225937,14.6172032,HRV,Europe
249,Croatia,Zadar County,82,31,1,44.223288200000006,15.3739652,HRV,Europe
250,Croatia,Šibenik-Knin County,80,28,1,43.8410419,16.022628,HRV,Europe
251,Croatia,Koprivnica-Križevci County,60,1,0,46.12020575,16.779842997977994,HRV,Europe
252,Croatia,Varaždin County,49,30,0,46.2572752,16.2900851,HRV,Europe
253,Croatia,Vukovar-Srijem County,39,5,0,45.2283407,18.8590442,HRV,Europe
254,Croatia,Sisak-Moslavina County,34,15,0,45.3330101,16.49187075036225,HRV,Europe
255,Croatia,Karlovac County,29,10,1,45.2826564,15.4190997,HRV,Europe
256,Croatia,Brod-Posavina County,22,3,1,45.2444285,17.9232927,HRV,Europe
257,Croatia,Lika-Senj County,20,1,0,44.6682563,15.3225776,HRV,Europe
258,Croatia,Bjelovar-Bilogora County,12,5,0,45.7462142,16.9212335,HRV,Europe
259,Croatia,Virovitica-Podravina County,9,0,0,45.7732751,17.5789161,HRV,Europe
260,Croatia,Međimurje County,8,4,0,46.4232963,16.4661353,HRV,Europe
261,Croatia,Požega-Slavonia County,3,3,0,45.43811510000001,17.5133687,HRV,Europe
262,Dominican Republic,Distrito Nacional,1457,305,35,18.48525785,-69.92990811529472,DOM,North America
263,Dominican Republic,Santo Domingo Province,1057,125,38,18.4801972,-69.942111,DOM,North America
264,Dominican Republic,Santiago Province,719,84,43,19.4503932,-70.6909047,DOM,North America
265,Dominican Republic,Duarte Province,557,72,74,19.7961218,-70.69147609999997,DOM,North America
266,Dominican Republic,La Vega Province,414,36,7,19.2237411,-70.5284071,DOM,North America
267,Dominican Republic,Puerto Plata Province,185,12,11,19.7893977,-70.6940515,DOM,North America
268,Dominican Republic,Espaillat Province,162,22,5,18.4234077,-68.970927,DOM,North America
269,Dominican Republic,Monseñor Nouel,162,12,3,18.8820257,-70.418098,DOM,North America
270,Dominican Republic,Hermanas Mirabal Province,145,17,11,18.5024782,-69.82829140000001,DOM,North America
271,Dominican Republic,San Cristóbal Province,138,6,4,18.417453100000003,-70.11033459999999,DOM,North America
272,Dominican Republic,Sánchez Ramírez Province,138,3,6,-70.1448351,19.0176147,DOM,North America
273,Dominican Republic,La Altagracia,109,23,1,18.5823788,-68.6587525,DOM,North America
274,Dominican Republic,La Romana Province,97,8,2,18.4272786,-68.9734597,DOM,North America
275,Dominican Republic,María Trinidad Sánchez Province,79,5,3,18.431132100000006,-69.0239872,DOM,North America
276,Dominican Republic,San Pedro de Macorís Province,56,8,7,18.4601161,-69.3027395,DOM,North America
277,Dominican Republic,San Juan Province,43,1,3,18.4775792,-69.9766214,DOM,North America
278,Dominican Republic,Peravia Province,37,2,1,18.4927899,-69.993166,DOM,North America
279,Dominican Republic,Barahona Province,35,5,1,18.2101889,-71.1012325,DOM,North America
280,Dominican Republic,Valverde Province,32,3,2,18.4861819,-69.89126170000002,DOM,North America
281,Dominican Republic,Azua Province,25,1,1,18.4532594,-70.73240109999998,DOM,North America
282,Dominican Republic,Santiago Rodríguez Province,24,0,1,18.4745773,-69.8884978,DOM,North America
283,Dominican Republic,Samaná Province,21,8,1,19.2055052,-69.3362252,DOM,North America
284,Dominican Republic,Monte Plata Province,13,2,0,18.8100643,-69.78753540000001,DOM,North America
285,Dominican Republic,Hato Mayor Province,11,0,2,18.7632502,-69.2571917,DOM,North America
286,Dominican Republic,Baoruco Province,4,1,0,18.0766275,-71.0952214,DOM,North America
287,Dominican Republic,El Seibo Province,4,0,0,18.7639305,-69.03729229999999,DOM,North America
288,Dominican Republic,San José de Ocoa Province,4,0,2,18.546405,-70.50567029999998,DOM,North America
289,Dominican Republic,Dajabón Province,3,1,0,19.550137600000006,-71.7039072,DOM,North America
290,Dominican Republic,Pedernales Province,3,0,0,18.0431598,-71.7432093,DOM,North America
291,Dominican Republic,Elías Piña Province,1,0,0,-71.69594790000002,18.9952542,DOM,North America
292,Dominican Republic,Independencia Province,1,1,0,19.4530693,-70.7008841,DOM,North America
293,Dominican Republic,Monte Cristi Province,1,0,0,19.848379,-71.64566529999998,DOM,North America
294,Ecuador,Guayas,15365,0,242,-2.0,-80.0,ECU,South America
295,Ecuador,Manabí Province,1869,0,44,-0.4,-80.3,ECU,South America
296,Ecuador,Pichincha,1634,0,52,-0.0584893,-78.32843709999999,ECU,South America
297,Ecuador,Los Ríos Province,668,0,19,-1.5586569,-79.7542606,ECU,South America
298,Ecuador,El Oro,477,0,57,-3.5311093,-79.83332340000003,ECU,South America
299,Ecuador,Azuay,449,0,11,-3.0524451,-79.2395135,ECU,South America
300,Ecuador,Santa Elena Province,321,0,5,-2.088082,-80.51908093389802,ECU,South America
301,Ecuador,Cañar Province,269,0,9,-2.4,-79.2,ECU,South America
302,Ecuador,Chimborazo Province,219,0,26,-1.7511331,-78.633333,ECU,South America
303,Ecuador,Loja,213,0,6,-4.0528506,-79.80534250000002,ECU,South America
304,Ecuador,Santo Domingo de los Tsáchilas Province,197,0,14,-0.2558522,-79.18443772696759,ECU,South America
305,Ecuador,Esmeraldas Province,195,0,7,1.058611,-78.968056,ECU,South America
306,Ecuador,Tungurahua,152,0,9,-1.2765895,-78.4754667,ECU,South America
307,Ecuador,Cotopaxi Province,109,0,11,-1.083333,-78.833333,ECU,South America
308,Ecuador,Bolívar Province,105,0,7,-5.7559052,-78.4545442,ECU,South America
309,Ecuador,Imbabura Province,97,0,8,0.75,-78.416667,ECU,South America
310,Ecuador,Galápagos Islands,86,0,1,-0.62881505,-90.36387520223239,ECU,South America
311,Ecuador,Carchi Province,59,0,3,0.933333,-78.5,ECU,South America
312,Ecuador,Sucumbíos Province,55,0,1,0.166389,-76.711667,ECU,South America
313,Ecuador,Morona-Santiago Province,48,0,0,-2.666667,-77.85,ECU,South America
314,Ecuador,Zamora-Chinchipe Province,42,0,1,-4.184707100000002,-78.9364356,ECU,South America
315,Ecuador,Pastaza Province,39,0,2,-1.47033055,-76.89132397657048,ECU,South America
316,Ecuador,Orellana Province,31,0,0,-2.18254285,-79.8950218287101,ECU,South America
317,Ecuador,Provincia de Napo,20,0,2,-1.8557374,-79.980994,ECU,South America
318,Finland,Uusimaa,2630,0,0,60.2246684,25.12726308225769,FIN,Europe
319,Finland,Southwest Finland,233,0,0,60.3059485,22.41442603089336,FIN,Europe
320,Finland,Pirkanmaa,199,0,0,61.7171466,23.71571339560399,FIN,Europe
321,Finland,Northern Savonia,118,0,0,27.530394841137646,63.0883598,FIN,Europe
322,Finland,Northern Ostrobothnia,115,0,0,65.01776105,25.475309266121503,FIN,Europe
323,Finland,Central Finland,114,0,0,62.53101395,25.50568325133171,FIN,Europe
324,Finland,Lapland,68,0,0,26.728204479201413,67.69291045,FIN,Europe
325,Finland,Tavastia Proper,66,0,0,24.153192009582572,60.93769605,FIN,Europe
326,Finland,Päijänne Tavastia,65,0,0,61.1444259,25.687187045973182,FIN,Europe
327,Finland,Kainuu,48,0,0,64.59873065,28.300198845857643,FIN,Europe
328,Finland,Satakunta,48,0,0,61.59201665000001,21.77994448672716,FIN,Europe
329,Finland,Ostrobothnia,45,0,0,62.96867215,21.36251426194388,FIN,Europe
330,Finland,Southern Savonia,44,0,0,27.98820443747439,61.90173715,FIN,Europe
331,Finland,Southern Ostrobothnia,36,0,0,24.50803078031766,60.66970185,FIN,Europe
