,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
149,Brazil,State of Minas Gerais,1308,0,51,-18.5264844,-44.1588654
150,Brazil,State of Pará,1267,0,53,-4.7493933,-52.8973006
151,Brazil,State of Santa Catarina,1115,0,39,-27.0628367,-51.114965
152,Brazil,State of Paraná,1082,0,60,-24.4842187,-51.8148872
153,Brazil,State of Rio Grande do Sul,994,0,29,-29.8425284,-53.7680577
154,Brazil,Federal District,963,0,25,-15.7754462,-47.7970891
155,Brazil,State of Rio Grande do Norte,708,0,34,-5.6781175,-36.4781776
156,Brazil,State of Amapá,548,0,16,1.3545442,-51.9161977
157,Brazil,State of Goiás,453,0,23,-15.9323662,-50.1392928
158,Brazil,State of Paraíba,345,0,40,-7.1219366,-36.7246845
159,Brazil,State of Alagoas,324,0,22,-9.6611661,-36.6502426
160,Brazil,State of Roraima,297,0,3,2.135138,-61.3631922
161,Brazil,State of Rondônia,250,0,5,-10.943145,-62.8277863
162,Brazil,State of Acre,227,0,10,-9.0478679,-70.5264976
163,Brazil,State of Mato Grosso,221,0,7,-12.2115009,-55.5716547
164,Brazil,State of Piauí,217,0,15,-7.6992782,-42.5043787
165,Brazil,State of Mato Grosso do Sul,186,0,7,-19.5852564,-54.4794731
166,Brazil,State of Sergipe,124,0,8,-10.6743911,-37.3773519
167,Brazil,State of Tocantins,37,0,2,-10.8855129,-48.3716912
168,Cambodia,Sihanoukville,40,0,0,10.5045515,103.25784114285526
169,Cambodia,Phnom Penh,28,0,0,11.568271,104.9224426
170,Cambodia,Kampong Cham Province,16,0,0,11.9921855,105.4628346
171,Cambodia,Battambang Province,8,0,0,13.0998526,103.1966659
172,Cambodia,Siem Reap Province,7,0,0,13.355487,103.8608382
173,Cambodia,Banteay Meanchey Province,4,0,0,13.5893961,102.9723093
174,Cambodia,Kep Province,4,0,0,10.4827998,104.3113349
175,Cambodia,Tbong Khmum Province,4,0,0,11.8914565,105.7756828
176,Cambodia,Kampong Chhnang Province,3,0,0,12.2536026,104.6658389
177,Cambodia,Kampot Province,2,0,0,10.6183061,104.1797339
178,Cambodia,Kandal Province,2,0,0,10.9986692,106.1691459
179,Cambodia,Koh Kong Province,2,0,0,11.4560302,103.122046
